# term<TAB>score<TAB>source
# generated_at=2026-03-20 15:26:52
# sources=SentiWord_Dict.txt,pos_pol_word.txt,neg_pol_word.txt,obj_unknown_pol_word.txt
(-;	1	knu_scored
(;_;)	-1	knu_scored
(^^)	1	knu_scored
(^-^)	1	knu_scored
(^^*	1	knu_scored
(^_^)	1	knu_scored
(^_^;	-1	knu_scored
(^o^)	1	knu_scored
(-_-)	-1	knu_scored
(T_T)	-1	knu_scored
(ㅡㅡ)	-1	knu_scored
)-:	-1	knu_scored
*^^*	1	knu_scored
/^o^\	1	knu_scored
:(	1	knu_scored
:'-(	1	knu_scored
:-(	1	knu_scored
:)	-1	knu_scored
:-)	1	knu_scored
:/	-1	knu_scored
:|	1	knu_scored
:D	-1	knu_scored
:-D	-1	knu_scored
:p	0	knu_scored
:-P	-1	knu_scored
;	1	knu_scored
;)	1	knu_scored
;-)	1	knu_scored
;ㅅ;	-1	knu_scored
^///^	1	knu_scored
^^	1	knu_scored
^^//	1	knu_scored
^-^;	-1	knu_scored
^-^;;	-1	knu_scored
^-^;;;;;	-1	knu_scored
-_-^	-1	knu_scored
<3	1	knu_scored
=)	1	knu_scored
8-)	0	knu_scored
B-)	0	knu_scored
XD	1	knu_scored
ㄱㅅ	1	knu_scored
ㄱㅇㄷ	1	knu_scored
가격이 싸다	1	knu_scored
가까스로	0	knu_scored
가까이 사귀어	1	knu_scored
가까이하다	1	knu_scored
가꾸러뜨리다	-1	knu_scored
가꾸러트리다	-1	knu_scored
가난	-2	knu_scored
가난뱅이	-2	knu_scored
가난살이	-2	knu_scored
가난살이하다	-2	knu_scored
가난설음	-2	knu_scored
가난에	-2	knu_scored
가난에 쪼들려서	-2	knu_scored
가난하게	-2	knu_scored
가난하고	-2	knu_scored
가난하고 어렵다	-2	knu_scored
가난하고 천한	-2	knu_scored
가난하다	-2	knu_scored
가난하여	-2	knu_scored
가난한	-2	knu_scored
가난한 데다가	-2	knu_scored
가난한 사람을	-2	knu_scored
가난히	-2	knu_scored
가년스럽다	-2	knu_scored
가념하다	-1	knu_scored
가녕스럽다	-2	knu_scored
가누기 어려워하다	-1	knu_scored
가누지 못하고	-2	knu_scored
가누지 못하다	-2	knu_scored
가누지 못할	-2	knu_scored
가누지 못할 정도로	-2	knu_scored
가누지 못함	-2	knu_scored
가눌 수 없게	-2	knu_scored
가눌 수 없을	-2	knu_scored
가눌 수 없이	-2	knu_scored
가능성이 늘어나다	2	knu_scored
가능성이 있다고	2	knu_scored
가능하다	2	knu_scored
가닐가닐하다	-1	knu_scored
가다듬어	1	knu_scored
가다듬어 수습하는	1	knu_scored
가다듬어 수습하다	1	knu_scored
가다듬어 정하다	1	knu_scored
가당찮다	-2	knu_scored
가당찮이	-2	knu_scored
가당히	1	knu_scored
가두거나	-1	knu_scored
가두거나 해치거나	-2	knu_scored
가드올려	-1	knu_scored
가뜬하게	1	knu_scored
가라앉다	0	knu_scored
가라앉지 않은	0	knu_scored
가라앉혀 바로잡다	1	knu_scored
가래	-1	knu_scored
가래 따위가	-1	knu_scored
가래가	-1	knu_scored
가래가 섞인	-1	knu_scored
가량맞고	-1	knu_scored
가량맞고 야살스러운	-1	knu_scored
가량맞고 야살스러움	-1	knu_scored
가려서 좋아하다	-1	knu_scored
가려운	-1	knu_scored
가려운 느낌이	-1	knu_scored
가려운 증상을	-1	knu_scored
가련하게	-1	knu_scored
가련하게 여기다	-1	knu_scored
가련하게 여김	-1	knu_scored
가련하다	-1	knu_scored
가련한	-1	knu_scored
가련한 듯하다	-1	knu_scored
가렵고	-1	knu_scored
